PSDI,InChi,LogS (log(mol/L)),LogS Temperature (C),LogS Solvent InChi,HLC (mol m-3 Pa-1),HLC Temperature (C),HLC Solvent InChi,Source,Citation,Master Version
PSDI0000B5,"InChI=1S/C9H12/c1-7-4-5-8(2)9(3)6-7/h4-6H,1-3H3",-3.31,25.0,InChI=1S/H2O/h1H2,,,,Delaney2004,"J. Chem. Inf. Comput. Sci. 2004, 44, 3, 1000-1005",0.0.7
PSDI0000B5,"InChI=1S/C9H12/c1-7-4-5-8(2)9(3)6-7/h4-6H,1-3H3",,,,0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE3010535,0.0.8
PSDI0000D6,InChI=1S/C2H8N2/c3-1-2-4/h1-4H2,1.22,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI0000D6,InChI=1S/C2H8N2/c3-1-2-4/h1-4H2,,,,1800.0,25.0,InChI=1S/H2O/h1H2,Sander2023,Amine Volatility in \chem{CO_2} Capture,0.0.8
PSDI0000DE,"InChI=1S/C3H5Br2Cl/c4-1-3(5)2-6/h3H,1-2H2",-2.37,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI0000DE,"InChI=1S/C3H5Br2Cl/c4-1-3(5)2-6/h3H,1-2H2",-2.38,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI0000DE,"InChI=1S/C3H5Br2Cl/c4-1-3(5)2-6/h3H,1-2H2",,,,0.1,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE3010535,0.0.8
PSDI0000E1,InChI=1S/C2H4Br2/c3-1-2-4/h1-2H2,-1.67,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI0000E1,InChI=1S/C2H4Br2/c3-1-2-4/h1-2H2,-1.66,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI0000E1,InChI=1S/C2H4Br2/c3-1-2-4/h1-2H2,-1.68,25.0,InChI=1S/H2O/h1H2,,,,Delaney2004,"J. Chem. Inf. Comput. Sci. 2004, 44, 3, 1000-1005",0.0.7
PSDI0000E1,InChI=1S/C2H4Br2/c3-1-2-4/h1-2H2,,,,0.02,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE3010535,0.0.8
PSDI0000E2,"InChI=1S/C3H6Br2/c1-3(5)2-4/h3H,2H2,1H3",-2.15,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI0000E2,"InChI=1S/C3H6Br2/c1-3(5)2-4/h3H,2H2,1H3",-2.14,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI0000E2,"InChI=1S/C3H6Br2/c1-3(5)2-4/h3H,2H2,1H3",,,,0.01,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1080/09593338709384529,0.0.8
PSDI0000EB,InChI=1S/C6H4Cl2/c7-5-3-1-2-4-6(5)8/h1-4H,-3.03,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI0000EB,InChI=1S/C6H4Cl2/c7-5-3-1-2-4-6(5)8/h1-4H,-3.02,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI0000EB,InChI=1S/C6H4Cl2/c7-5-3-1-2-4-6(5)8/h1-4H,-2.97,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI0000EB,InChI=1S/C6H4Cl2/c7-5-3-1-2-4-6(5)8/h1-4H,-3.05,25.0,InChI=1S/H2O/h1H2,,,,Delaney2004,"J. Chem. Inf. Comput. Sci. 2004, 44, 3, 1000-1005",0.0.7
PSDI0000EB,InChI=1S/C6H4Cl2/c7-5-3-1-2-4-6(5)8/h1-4H,,,,0.01,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE3010535,0.0.8
PSDI0000EC,InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2,-1.06,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI0000EC,InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2,-1.06,25.0,InChI=1S/H2O/h1H2,,,,Delaney2004,"J. Chem. Inf. Comput. Sci. 2004, 44, 3, 1000-1005",0.0.7
PSDI0000EC,InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2,,,,0.01,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE3010535,0.0.8
PSDI0000ED,InChI=1S/C2H2Cl2/c3-1-2-4/h1-2H,-1.26,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI0000ED,InChI=1S/C2H2Cl2/c3-1-2-4/h1-2H,-1.33,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI0000ED,InChI=1S/C2H2Cl2/c3-1-2-4/h1-2H,-1.36,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI0000ED,InChI=1S/C2H2Cl2/c3-1-2-4/h1-2H,-1.37,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI0000ED,InChI=1S/C2H2Cl2/c3-1-2-4/h1-2H,-1.3,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI0000ED,InChI=1S/C2H2Cl2/c3-1-2-4/h1-2H,-1.44,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI0000ED,InChI=1S/C2H2Cl2/c3-1-2-4/h1-2H,-1.3,25.0,InChI=1S/H2O/h1H2,,,,Delaney2004,"J. Chem. Inf. Comput. Sci. 2004, 44, 3, 1000-1005",0.0.7
PSDI0000ED,InChI=1S/C2H2Cl2/c3-1-2-4/h1-2H,,,,0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE3010535,0.0.8
PSDI0000EF,"InChI=1S/C3H6Cl2/c1-3(5)2-4/h3H,2H2,1H3",-1.6,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI0000EF,"InChI=1S/C3H6Cl2/c1-3(5)2-4/h3H,2H2,1H3",-1.61,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI0000EF,"InChI=1S/C3H6Cl2/c1-3(5)2-4/h3H,2H2,1H3",-1.6,25.0,InChI=1S/H2O/h1H2,,,,Delaney2004,"J. Chem. Inf. Comput. Sci. 2004, 44, 3, 1000-1005",0.0.7
PSDI0000EF,"InChI=1S/C3H6Cl2/c1-3(5)2-4/h3H,2H2,1H3",,,,0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE3010535,0.0.8
PSDI0000F0,"InChI=1S/C2Cl2F4/c3-1(5,6)2(4,7)8",-2.99,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI0000F0,"InChI=1S/C2Cl2F4/c3-1(5,6)2(4,7)8",-3.0,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI0000F0,"InChI=1S/C2Cl2F4/c3-1(5,6)2(4,7)8",-3.03,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI0000F0,"InChI=1S/C2Cl2F4/c3-1(5,6)2(4,7)8",-3.12,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI0000F0,"InChI=1S/C2Cl2F4/c3-1(5,6)2(4,7)8",-2.74,25.0,InChI=1S/H2O/h1H2,,,,Delaney2004,"J. Chem. Inf. Comput. Sci. 2004, 44, 3, 1000-1005",0.0.7
PSDI0000F0,"InChI=1S/C2Cl2F4/c3-1(5,6)2(4,7)8",,,,0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,"Messung und Korrelierung von Gasl\oslichkeiten halogenierter Kohlenwasserstoffe""",0.0.8
PSDI0000F3,InChI=1S/C6H4F2/c7-5-3-1-2-4-6(5)8/h1-4H,-2.0,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI0000F3,InChI=1S/C6H4F2/c7-5-3-1-2-4-6(5)8/h1-4H,,,,0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/J.FLUID.2013.03.023,0.0.8
PSDI0000FE,"InChI=1S/C8H16/c1-7-5-3-4-6-8(7)2/h7-8H,3-6H2,1-2H3",-4.21,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI0000FE,"InChI=1S/C8H16/c1-7-5-3-4-6-8(7)2/h7-8H,3-6H2,1-2H3",-4.33,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI0000FE,"InChI=1S/C8H16/c1-7-5-3-4-6-8(7)2/h7-8H,3-6H2,1-2H3",-4.27,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI0000FE,"InChI=1S/C8H16/c1-7-5-3-4-6-8(7)2/h7-8H,3-6H2,1-2H3",-4.18,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI0000FE,"InChI=1S/C8H16/c1-7-5-3-4-6-8(7)2/h7-8H,3-6H2,1-2H3",-4.2,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI0000FE,"InChI=1S/C8H16/c1-7-5-3-4-6-8(7)2/h7-8H,3-6H2,1-2H3",-3.96,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI0000FE,"InChI=1S/C8H16/c1-7-5-3-4-6-8(7)2/h7-8H,3-6H2,1-2H3",-4.3,25.0,InChI=1S/H2O/h1H2,,,,Delaney2004,"J. Chem. Inf. Comput. Sci. 2004, 44, 3, 1000-1005",0.0.7
PSDI0000FE,"InChI=1S/C8H16/c1-7-5-3-4-6-8(7)2/h7-8H,3-6H2,1-2H3",,,,0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/IE030800T,0.0.8
PSDI000121,InChI=1S/C10H4Cl4/c11-5-1-7-8(10(14)3-5)2-6(12)4-9(7)13/h1-4H,-7.82,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI000121,InChI=1S/C10H4Cl4/c11-5-1-7-8(10(14)3-5)2-6(12)4-9(7)13/h1-4H,,,,0.06,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/J.ATMOSENV.2016.10.009,0.0.8
PSDI00012B,InChI=1S/C6H3Cl3/c7-4-1-5(8)3-6(9)2-4/h1-3H,-4.49,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI00012B,InChI=1S/C6H3Cl3/c7-4-1-5(8)3-6(9)2-4/h1-3H,-4.48,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI00012B,InChI=1S/C6H3Cl3/c7-4-1-5(8)3-6(9)2-4/h1-3H,-4.48,25.0,InChI=1S/H2O/h1H2,,,,Delaney2004,"J. Chem. Inf. Comput. Sci. 2004, 44, 3, 1000-1005",0.0.7
PSDI00012B,InChI=1S/C6H3Cl3/c7-4-1-5(8)3-6(9)2-4/h1-3H,,,,0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/S0021-9673(98)00877-2,0.0.8
PSDI000132,"InChI=1S/C9H12/c1-7-4-8(2)6-9(3)5-7/h4-6H,1-3H3",-3.4,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI000132,"InChI=1S/C9H12/c1-7-4-8(2)6-9(3)5-7/h4-6H,1-3H3",-3.4,25.0,InChI=1S/H2O/h1H2,,,,Delaney2004,"J. Chem. Inf. Comput. Sci. 2004, 44, 3, 1000-1005",0.0.7
PSDI000132,"InChI=1S/C9H12/c1-7-4-8(2)6-9(3)5-7/h4-6H,1-3H3",,,,0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE3010535,0.0.8
PSDI000136,InChI=1S/C12H4Cl4O2/c13-5-1-7(15)11-9(3-5)18-12-8(16)2-6(14)4-10(12)17-11/h1-4H,-9.0,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI000136,InChI=1S/C12H4Cl4O2/c13-5-1-7(15)11-9(3-5)18-12-8(16)2-6(14)4-10(12)17-11/h1-4H,,,,0.14,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/0045-6535(85)90169-9,0.0.8
PSDI000150,"InChI=1S/C4H6/c1-3-4-2/h3-4H,1-2H2",-1.87,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI000150,"InChI=1S/C4H6/c1-3-4-2/h3-4H,1-2H2",-1.87,25.0,InChI=1S/H2O/h1H2,,,,Delaney2004,"J. Chem. Inf. Comput. Sci. 2004, 44, 3, 1000-1005",0.0.7
PSDI000150,"InChI=1S/C4H6/c1-3-4-2/h3-4H,1-2H2",,,,0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/0095-8522(57)90054-5,0.0.8
PSDI00015F,InChI=1S/C3H6Cl2/c4-2-1-3-5/h1-3H2,-1.62,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI00015F,InChI=1S/C3H6Cl2/c4-2-1-3-5/h1-3H2,-1.61,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI00015F,InChI=1S/C3H6Cl2/c4-2-1-3-5/h1-3H2,-1.62,25.0,InChI=1S/H2O/h1H2,,,,Delaney2004,"J. Chem. Inf. Comput. Sci. 2004, 44, 3, 1000-1005",0.0.7
PSDI00015F,InChI=1S/C3H6Cl2/c4-2-1-3-5/h1-3H2,,,,0.01,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE3010535,0.0.8
PSDI00016E,InChI=1S/C6H4N2O4/c9-7(10)5-2-1-3-6(4-5)8(11)12/h1-4H,-2.39,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI00016E,InChI=1S/C6H4N2O4/c9-7(10)5-2-1-3-6(4-5)8(11)12/h1-4H,-2.4,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI00016E,InChI=1S/C6H4N2O4/c9-7(10)5-2-1-3-6(4-5)8(11)12/h1-4H,-2.37,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI00016E,InChI=1S/C6H4N2O4/c9-7(10)5-2-1-3-6(4-5)8(11)12/h1-4H,-2.5,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI00016E,InChI=1S/C6H4N2O4/c9-7(10)5-2-1-3-6(4-5)8(11)12/h1-4H,-2.29,25.0,InChI=1S/H2O/h1H2,,,,Delaney2004,"J. Chem. Inf. Comput. Sci. 2004, 44, 3, 1000-1005",0.0.7
PSDI00016E,InChI=1S/C6H4N2O4/c9-7(10)5-2-1-3-6(4-5)8(11)12/h1-4H,,,,180.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/J.WATRES.2017.04.074,0.0.8
PSDI00016F,InChI=1S/C3H6O2/c1-2-5-3-4-1/h1-3H2,1.13,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI00016F,InChI=1S/C3H6O2/c1-2-5-3-4-1/h1-3H2,,,,0.43,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/J.FLUID.2007.08.013,0.0.8
PSDI000181,"InChI=1S/C3H8O2/c4-2-1-3-5/h4-5H,1-3H2",1.12,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI000181,"InChI=1S/C3H8O2/c4-2-1-3-5/h4-5H,1-3H2",,,,9100.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JA00343A044,0.0.8
PSDI000184,"InChI=1S/C5H13NO2/c1-2-5(6,3-7)4-8/h7-8H,2-4,6H2,1H3",0.92,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI000184,"InChI=1S/C5H13NO2/c1-2-5(6,3-7)4-8/h7-8H,2-4,6H2,1H3",,,,710.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/J.IJGGC.2017.01.001,0.0.8
PSDI0001A1,"InChI=1S/C4H10O2/c5-3-1-2-4-6/h5-6H,1-4H2",1.05,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI0001A1,"InChI=1S/C4H10O2/c5-3-1-2-4-6/h5-6H,1-4H2",,,,900.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/S0045-6535(99)00082-X,0.0.8
PSDI0001AC,InChI=1S/C6H4Br2/c7-5-1-2-6(8)4-3-5/h1-4H,-4.07,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI0001AC,InChI=1S/C6H4Br2/c7-5-1-2-6(8)4-3-5/h1-4H,-4.07,25.0,InChI=1S/H2O/h1H2,,,,Delaney2004,"J. Chem. Inf. Comput. Sci. 2004, 44, 3, 1000-1005",0.0.7
PSDI0001AC,InChI=1S/C6H4Br2/c7-5-1-2-6(8)4-3-5/h1-4H,,,,0.01,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE0342724,0.0.8
PSDI0001AD,InChI=1S/C4H8Br2/c5-3-1-2-4-6/h1-4H2,-2.79,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI0001AD,InChI=1S/C4H8Br2/c5-3-1-2-4-6/h1-4H2,,,,0.02,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1080/09593338709384529,0.0.8
PSDI0001AF,"InChI=1S/C4H6Cl2/c5-3-1-2-4-6/h1-2H,3-4H2",-2.24,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI0001AF,"InChI=1S/C4H6Cl2/c5-3-1-2-4-6/h1-2H,3-4H2",-2.33,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI0001AF,"InChI=1S/C4H6Cl2/c5-3-1-2-4-6/h1-2H,3-4H2",-2.28,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI0001AF,"InChI=1S/C4H6Cl2/c5-3-1-2-4-6/h1-2H,3-4H2",,,,0.03,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE3010535,0.0.8
PSDI0001AF,"InChI=1S/C4H6Cl2/c5-3-1-2-4-6/h1-2H,3-4H2",,,,0.04,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE3010535,0.0.8
PSDI0001B1,InChI=1S/C6H4Cl2/c7-5-1-2-6(8)4-3-5/h1-4H,-3.28,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
PSDI0001B1,InChI=1S/C6H4Cl2/c7-5-1-2-6(8)4-3-5/h1-4H,-3.27,25.0,InChI=1S/H2O/h1H2,,,,Meng2022,"Meng, J., Chen, P., Wahib, M. et al. Boosting the predictive performance with aqueous solubility dataset curation. Sci Data 9, 71 (2022). https://doi.org/10.1038/s41597-022-01154-3",0.0.6
